genres,title,price,id,developer,release_year
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,4.99,761140.0,Kotoshiro,2018
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,0.0,643980.0,Secret Level SRL,2018
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,0.0,670290.0,Poolians.com,2017
"['Action', 'Adventure', 'Casual']",弹炸人2222,0.99,767400.0,彼岸领域,2017
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,3.99,772540.0,Trickjump Games Ltd,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,9.99,774276.0,Poppermost Productions,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,18.99,774277.0,Poppermost Productions,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,29.99,774278.0,Poppermost Productions,2018
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,10.99,770380.0,Stegalosaurus Game Development,2018
"['Casual', 'Indie']",Beach Rules,3.99,768880.0,Copperpick Studio,2018
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2.99,765320.0,Ghulam Jewel,2018
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,1.59,773650.0,Apillo,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,14.99,774271.0,Poppermost Productions,2018
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,1.99,773690.0,Apillo,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,59.99,774279.0,Poppermost Productions,2018
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,0.99,768060.0,Tero Lunkka,2018
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2.99,775880.0,FrozenPepper,2017
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2.99,775881.0,FrozenPepper,2017
"['Action', 'Indie']",DinoBlaster,4.99,653960.0,Casey Labrack,2018
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,9.99,282010.0,Stainless Games Ltd,1997
['Action'],Half-Life,9.99,70.0,Valve,1998
"['Action', 'Indie', 'RPG']",Fallen Mage,1.99,752360.0,dev4play,2016
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,0.99,766850.0,ETGgames,2018
"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,8.99,754360.0,The Commander,2018
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,0.99,716110.0,"lalalaZero,Urbanoff",2018
['Strategy'],Disciples II: Gallean's Return,6.99,1640.0,Strategy First,2006
['Strategy'],Disciples II: Rise of the Elves,6.99,1630.0,Strategy First,2006
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,9.99,2400.0,Outerlight Ltd.,2006
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,7.99,759920.0,Ultraint,2017
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,10.99,603280.0,TPM.CO SOFT WORKS,2017
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,9.99,753110.0,Wonderbox Games,2017
"['Action', 'Indie']",Orbitality,9.99,753100.0,Wonderbox Games,2017
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,1.99,764280.0,Mad Unicorn Games,2017
"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,0.99,758550.0,Emanon Studios,2017
['Action'],Advent Rising,9.99,3800.0,GlyphX Games,2005
"['Indie', 'Strategy']",DEFCON,9.99,1520.0,Introversion Software,2006
